name,price,stock,description,isArchived
Product 1,388.32,77,Description du produit 1,false
Product 2,182.53,174,Description du produit 2,false
Product 3,479.87,23,Description du produit 3,false
Product 4,179.69,135,Description du produit 4,false
Product 5,366.49,150,Description du produit 5,false
Product 6,327.25,139,Description du produit 6,false
Product 7,237.41,100,Description du produit 7,false
Product 8,476.20,170,Description du produit 8,false
Product 9,356.68,39,Description du produit 9,false
Product 10,224.36,50,Description du produit 10,false
Product 11,21.61,123,Description du produit 11,false
Product 12,361.36,47,Description du produit 12,false
Product 13,24.11,44,Description du produit 13,false
Product 14,226.29,60,Description du produit 14,false
Product 15,292.63,51,Description du produit 15,false
Product 16,323.14,173,Description du produit 16,false
Product 17,375.93,9,Description du produit 17,false
Product 18,430.33,97,Description du produit 18,false
Product 19,411.46,81,Description du produit 19,false
Product 20,103.0,134,Description du produit 20,false
Product 21,220.68,115,Description du produit 21,false
Product 22,58.70,102,Description du produit 22,false
Product 23,429.59,53,Description du produit 23,false
Product 24,346.22,118,Description du produit 24,false
Product 25,151.20,8,Description du produit 25,false
Product 26,386.33,8,Description du produit 26,false
Product 27,434.88,156,Description du produit 27,false
Product 28,421.34,147,Description du produit 28,false
Product 29,467.94,127,Description du produit 29,false
Product 30,361.38,194,Description du produit 30,false
Product 31,344.96,30,Description du produit 31,false
Product 32,35.0,30,Description du produit 32,false
Product 33,106.27,197,Description du produit 33,false
Product 34,286.82,1,Description du produit 34,false
Product 35,240.68,121,Description du produit 35,false
Product 36,53.2,110,Description du produit 36,false
Product 37,162.57,39,Description du produit 37,false
Product 38,361.39,42,Description du produit 38,false
Product 39,451.92,99,Description du produit 39,false
Product 40,223.94,12,Description du produit 40,false
Product 41,399.1,193,Description du produit 41,false
Product 42,448.47,32,Description du produit 42,false
Product 43,73.16,109,Description du produit 43,false
Product 44,443.24,90,Description du produit 44,false
Product 45,252.52,125,Description du produit 45,false
Product 46,216.25,143,Description du produit 46,false
Product 47,301.19,149,Description du produit 47,false
Product 48,198.4,108,Description du produit 48,false
Product 49,408.20,170,Description du produit 49,false
Product 50,483.96,3,Description du produit 50,false
Product 51,339.72,33,Description du produit 51,false
Product 52,368.89,163,Description du produit 52,false
Product 53,147.15,109,Description du produit 53,false
Product 54,202.51,127,Description du produit 54,false
Product 55,264.1,57,Description du produit 55,false
Product 56,469.9,51,Description du produit 56,false
Product 57,476.8,107,Description du produit 57,false
Product 58,272.82,180,Description du produit 58,false
Product 59,253.82,33,Description du produit 59,false
Product 60,454.57,55,Description du produit 60,false
Product 61,148.45,97,Description du produit 61,false
Product 62,108.3,167,Description du produit 62,false
Product 63,434.15,136,Description du produit 63,false
Product 64,197.54,176,Description du produit 64,false
Product 65,500.14,72,Description du produit 65,false
Product 66,460.21,160,Description du produit 66,false
Product 67,238.66,133,Description du produit 67,false
Product 68,468.4,133,Description du produit 68,false
Product 69,449.48,8,Description du produit 69,false
Product 70,164.67,194,Description du produit 70,false
Product 71,362.83,190,Description du produit 71,false
Product 72,265.45,179,Description du produit 72,false
Product 73,14.94,157,Description du produit 73,false
Product 74,176.33,173,Description du produit 74,false
Product 75,111.77,153,Description du produit 75,false
Product 76,136.34,85,Description du produit 76,false
Product 77,365.14,31,Description du produit 77,false
Product 78,88.50,166,Description du produit 78,false
Product 79,346.61,23,Description du produit 79,false
Product 80,188.55,104,Description du produit 80,false
Product 81,296.42,15,Description du produit 81,false
Product 82,136.46,124,Description du produit 82,false
Product 83,323.68,159,Description du produit 83,false
Product 84,53.59,76,Description du produit 84,false
Product 85,250.73,189,Description du produit 85,false
Product 86,395.14,69,Description du produit 86,false
Product 87,215.15,157,Description du produit 87,false
Product 88,177.27,107,Description du produit 88,false
Product 89,299.4,61,Description du produit 89,false
Product 90,485.79,196,Description du produit 90,false
Product 91,90.53,8,Description du produit 91,false
Product 92,9.9,150,Description du produit 92,false
Product 93,307.37,26,Description du produit 93,false
Product 94,245.7,130,Description du produit 94,false
Product 95,27.0,177,Description du produit 95,false
Product 96,384.13,192,Description du produit 96,false
Product 97,153.74,152,Description du produit 97,false
Product 98,172.32,40,Description du produit 98,false
Product 99,182.94,140,Description du produit 99,false
Product 100,356.40,198,Description du produit 100,false
Product 101,318.38,4,Description du produit 101,false
Product 102,21.54,102,Description du produit 102,false
Product 103,341.39,15,Description du produit 103,false
Product 104,452.55,110,Description du produit 104,false
Product 105,164.52,39,Description du produit 105,false
Product 106,385.22,9,Description du produit 106,false
Product 107,397.11,41,Description du produit 107,false
Product 108,69.42,77,Description du produit 108,false
Product 109,255.17,71,Description du produit 109,false
Product 110,286.86,115,Description du produit 110,false
Product 111,183.0,131,Description du produit 111,false
Product 112,90.58,15,Description du produit 112,false
Product 113,364.52,96,Description du produit 113,false
Product 114,110.42,178,Description du produit 114,false
Product 115,164.67,186,Description du produit 115,false
Product 116,178.79,95,Description du produit 116,false
Product 117,284.54,124,Description du produit 117,false
Product 118,200.7,134,Description du produit 118,false
Product 119,344.32,143,Description du produit 119,false
Product 120,324.41,34,Description du produit 120,false
Product 121,135.80,54,Description du produit 121,false
Product 122,391.23,77,Description du produit 122,false
Product 123,149.49,13,Description du produit 123,false
